"Index","EURUSD.Open","EURUSD.High","EURUSD.Low","EURUSD.Close","EURUSD.Volume","EURUSD.Adjusted"
2000-01-03,1.0081,1.0238,1.0054,1.02,NA,NA
2000-01-04,1.0202,1.0341,1.019,1.0306,NA,NA
2000-01-05,1.0305,1.04,1.0271,1.0344,NA,NA
2000-01-06,1.0344,1.0414,1.0285,1.0286,NA,NA
2000-01-07,1.0286,1.0333,1.0261,1.0295,NA,NA
2000-01-10,1.0294,1.0302,1.0215,1.0261,NA,NA
2000-01-11,1.0262,1.033,1.0246,1.0316,NA,NA
2000-01-12,1.0317,1.0367,1.0264,1.0293,NA,NA
2000-01-13,1.0293,1.0323,1.0239,1.0264,NA,NA
2000-01-14,1.0264,1.0274,1.0115,1.0122,NA,NA
2000-01-17,1.0145,1.0146,1.0072,1.0102,NA,NA
2000-01-18,1.0106,1.0139,1.0074,1.0122,NA,NA
2000-01-19,1.0123,1.0165,1.0091,1.0122,NA,NA
2000-01-20,1.0122,1.0174,1.0079,1.0171,NA,NA
2000-01-21,1.017,1.0193,1.0052,1.0098,NA,NA
2000-01-24,1.006,1.0076,1.0002,1.002,NA,NA
2000-01-25,1.002,1.0096,0.9998,1.0041,NA,NA
2000-01-26,1.0042,1.0053,1.0003,1.0007,NA,NA
2000-01-27,1.0007,1.0026,0.9875,0.9895,NA,NA
2000-01-28,0.9895,0.9898,0.9739,0.9747,NA,NA
2000-01-31,0.9773,0.9829,0.9714,0.9715,NA,NA
2000-02-01,0.9715,0.9778,0.9668,0.9708,NA,NA
2000-02-02,0.9707,0.9773,0.9694,0.9762,NA,NA
2000-02-03,0.9762,0.9947,0.9718,0.9894,NA,NA
2000-02-04,0.9894,0.9939,0.9751,0.9832,NA,NA
2000-02-07,0.9828,0.9843,0.9755,0.9794,NA,NA
2000-02-08,0.9796,0.9913,0.9788,0.9879,NA,NA
2000-02-09,0.988,0.9959,0.9852,0.9922,NA,NA
2000-02-10,0.9922,0.9962,0.9832,0.9875,NA,NA
2000-02-11,0.9875,0.99,0.979,0.9875,NA,NA
2000-02-14,0.9869,0.9914,0.978,0.9799,NA,NA
2000-02-15,0.9801,0.9862,0.9767,0.984,NA,NA
2000-02-16,0.984,0.9862,0.9791,0.9862,NA,NA
2000-02-17,0.9862,0.9952,0.9842,0.9866,NA,NA
2000-02-18,0.9868,0.9901,0.9814,0.9839,NA,NA
2000-02-21,0.9848,0.9887,0.9845,0.9867,NA,NA
2000-02-22,0.9868,1.008,0.9868,1.0071,NA,NA
2000-02-23,1.0071,1.0086,1.0015,1.0021,NA,NA
2000-02-24,1.0022,1.0042,0.9892,0.9946,NA,NA
2000-02-25,0.9947,0.9962,0.9729,0.9749,NA,NA
2000-02-28,0.9746,0.9751,0.939,0.9699,NA,NA
2000-02-29,0.971,0.9844,0.9627,0.9668,NA,NA
2000-03-01,0.9672,0.9768,0.9626,0.9743,NA,NA
2000-03-02,0.9743,0.9787,0.9617,0.9664,NA,NA
2000-03-03,0.9663,0.9678,0.9586,0.9586,NA,NA
2000-03-06,0.9605,0.9669,0.956,0.9587,NA,NA
2000-03-07,0.9588,0.962,0.9528,0.9542,NA,NA
2000-03-08,0.9542,0.9617,0.9524,0.9596,NA,NA
2000-03-09,0.9596,0.9695,0.9581,0.9672,NA,NA
2000-03-10,0.9671,0.9689,0.9603,0.9637,NA,NA
2000-03-13,0.9632,0.973,0.9617,0.9632,NA,NA
2000-03-14,0.9631,0.966,0.9596,0.9647,NA,NA
